,urban,crops,pasture,forest,barren
urban,81516.5586077753,-9433.43637006907,-12092.1967097934,-3183.94823997786,-78702.1067428727
crops,-9433.43637006907,10350.8344970938,-2190.27376286759,384.035438361795,9712.02973064371
pasture,-12092.1967097934,-2190.27376286759,20118.2962216714,-1168.3730992155,40996.6368124809
forest,-3183.94823997786,384.035438361795,-1168.37309921549,1035.67726118697,-45351.0458990261
barren,-78702.1067428725,9712.0297306437,40996.6368124809,-45351.0458990261,10822736.5044935
