"PARAMETER","PARM TYPE","ESTIMATE","SE","T","P-VALUE","VIF","DESCRIPTION","PARAMETER UNITS"
"urban","SOURCE",1713.87507720453,285.511048136102,6.00283277439944,3.10636805167519e-09,1.80414403588178,"Urban lands","kg/km2/year"
"crops","SOURCE",1965.89002476155,101.739050993676,19.3228657586333,0,1.26457054202142,"Cropland","kg/km2/year"
"pasture","SOURCE",722.662209830415,141.838979909161,5.09494787887811,4.48700398614221e-07,1.54492851613369,"Pasture land","kg/km2/year"
"forest","SOURCE",157.94537654253,32.1819399848264,4.9078886051307,1.14523240224429e-06,1.80763873169154,"Forested land","kg/km2/year"
"barren","SOURCE",10103.9962830601,3289.79277531177,3.07131694095917,0.00221336179415355,1.2938112658007,"Barren land","kg/km2/year"
