"PARAMETER","PARM TYPE","ESTIMATE","SE","T","P-VALUE","VIF","DESCRIPTION","PARAMETER UNITS"
"urban","SOURCE",1805.40175810354,294.341405007444,6.13369959981633,1.43145406639178e-09,1.8566450869196,"Urban lands","kg/km2/year"
"crops","SOURCE",1954.52024004938,102.491069327413,19.0701517007844,0,1.26607299943689,"Cropland","kg/km2/year"
"pasture","SOURCE",665.432626148544,142.954652392392,4.65485113644304,3.87487107333939e-06,1.52432034565737,"Pasture land","kg/km2/year"
"forest","SOURCE",221.321525295344,30.3965171771874,7.28114750796007,8.87734330490275e-13,1.57779801345961,"Forested land","kg/km2/year"
