,urban,crops,pasture,forest,shrubgrass,barren
urban,81913.3966777112,-9325.49179327086,-12100.1354595403,-3254.31649298713,0.331478706161709,-52204.803513501
crops,-9325.49179327086,10294.7360352175,-2153.58436008854,373.696964995828,-0.0606629015526257,9875.86266542805
pasture,-12100.1354595404,-2153.58436008854,19579.427488151,-1299.46704446244,0.456619757203977,34677.8527650045
forest,-3254.31649298711,373.696964995827,-1299.46704446244,1193.88291049428,-0.248778675489274,-43997.4649633876
shrubgrass,0.331478706161744,-0.0606629015526199,0.456619757203944,-0.248778675489278,-0.00385239091186296,32.000348745359
barren,-52204.8035135,9875.86266542805,34677.8527650037,-43997.4649633875,32.0003487453587,7077137.64463353
