,urban,crops,pasture,forest,shrubgrass,barren
urban,1,-0.321134281079456,-0.302143162317844,-0.329079972137852,0.00115818561746392,-0.0685652678322835
crops,-0.321134281079456,1,-0.15168906924061,0.106593591461977,-0.000597882127684686,0.0365879951676776
pasture,-0.302143162317844,-0.15168906924061,1,-0.268772238101527,0.00326328274401827,0.0931586921404859
forest,-0.329079972137852,0.106593591461977,-0.268772238101527,1,-0.00719999646916341,-0.478649891837106
shrubgrass,0.00115818561746392,-0.000597882127684686,0.00326328274401827,-0.00719999646916341,1,0.0120288993270947
barren,-0.0685652678322835,0.0365879951676776,0.0931586921404859,-0.478649891837106,0.0120288993270947,1
