waterid,demtarea,rchname,station_id,station_name,staid,huc2,standardResids,Resids,leverage,leverageCrit,CooksD,CooksDpvalue,weight,tiarea,residCheck
91481,1614.31,MISSISSIPPI R,MSU1292-BB15E67,MISSISSIPPI R AT BR ON CSAH-8 7 MI E OF BEMIDJI,143,7,-3.11731711685318,-2.43537397766043,0.00279072665392073,0.00423728813559322,0.0271952440320867,0.973172235069075,1,1614.31,3.11731711685318
90337,2327.27,DES LACS R,5116500,DES LACS RIVER AT FOXHOLM ND,289,9,-5.39684267162461,-4.21633511444125,0.00274164928541329,0.00423728813559322,0.0800725634793273,0.923057733972948,1,2327.27,5.39684267162461
90323,2013.7,BALDHILL CR,5057200,BALDHILL CREEK NR DAZEY ND,290,9,-3.3097639028342,-2.58578479075585,0.00274165866708089,0.00423728813559322,0.0301161698215339,0.970334048345631,1,2013.7,3.3097639028342
90317,5728.82,SHEYENNE R,5056000,SHEYENNE RIVER NR WARWICK ND,371,9,-4.03975418492896,-3.15601653731675,0.00279231704347132,0.00423728813559322,0.0456971368591488,0.955334074476731,1,5728.82,4.03975418492896
90473,1685.97,CHICAGO SHIP CANAL,5536995,CHICAGO SANITARY AND SHIP CANAL AT ROMEOVILLE IL,400,7,3.03435526419602,2.37176072023167,0.00178096957515616,0.00423728813559322,0.0164271986492933,0.983707367438424,1,1465.94,3.03435526419602
65689,4532.62,AU SABLE R,4137500,AU SABLE RIVER NEAR AU SABLE MI,690,4,-3.46879594613727,-2.70996126730396,0.00279231704347132,0.00423728813559322,0.0336927622362697,0.966870069895071,1,4532.62,3.46879594613727
