,urban,crops,pasture,forest,shrubgrass,barren
urban,81523.6696138666,-9445.39080939669,-11851.8089630466,-3189.92654048516,1.08743242916964,-70373.8915964918
crops,-9445.39080939669,10354.8039263567,-2255.66935079934,371.128991113366,-0.187410392288527,12737.6287619309
pasture,-11851.8089630466,-2255.66935079934,20375.0409503297,-1189.74261503143,-0.0995100377008417,32523.2082411838
forest,-3189.92654048516,371.128991113366,-1189.74261503143,1053.67127960019,0.028120784290478,-42106.9208616923
shrubgrass,1.08743242916965,-0.18741039228853,-0.0995100377008366,0.0281207842904785,0.00166913866946715,-21.7319367341659
barren,-70373.8915964922,12737.6287619309,32523.2082411839,-42106.9208616922,-21.7319367341658,9111183.63911226
