,point,ndep,MANC_N,FARM_N,rchdecay1,rchdecay2,rchdecay3,iresload
point,1,-0.112629402843486,0.0356959516277844,-0.0552834020291569,-0.0368030666509673,0.0607301242619041,0.081941522651058,0.0313071692320601
ndep,-0.112629402843486,1,-0.0876614323762949,0.0614196008828987,0.123216818856017,0.205111375504761,0.361793525651548,0.206394133216099
MANC_N,0.0356959516277844,-0.0876614323762949,1,-0.515508805734827,-0.0158037704819086,0.05379847723998,0.114242962040346,-0.0303033029207382
FARM_N,-0.0552834020291569,0.0614196008828987,-0.515508805734827,1,0.257870543198126,0.260311995187722,0.377044098691962,0.162834412533627
rchdecay1,-0.0368030666509673,0.123216818856017,-0.0158037704819086,0.257870543198126,1,0.0389644957730003,0.070898720433639,0.0400724799902437
rchdecay2,0.0607301242619041,0.205111375504761,0.05379847723998,0.260311995187722,0.0389644957730003,1,0.112060739566934,0.0744607185115231
rchdecay3,0.081941522651058,0.361793525651548,0.114242962040346,0.377044098691962,0.070898720433639,0.112060739566934,1,-0.00605170868041143
iresload,0.0313071692320601,0.206394133216099,-0.0303033029207382,0.162834412533627,0.0400724799902437,0.0744607185115231,-0.00605170868041143,1
