,point,ndep,MANC_N,FARM_N,rchdecay1,rchdecay2,rchdecay3,iresload
point,0.0176865037237727,-0.0005476087203916,0.000302816041801421,-0.000155852862789627,-0.000527695539078198,0.000850959113465032,0.000221953072241984,0.0108905528181878
ndep,-0.000547608720391597,0.00133658061476264,-0.000204430203380384,4.75996322367582e-05,0.000485675270748148,0.000790079612357341,0.000269398086039292,0.0197369507363726
MANC_N,0.000302816041801407,-0.000204430203380382,0.00406890769709986,-0.000697066217179154,-0.000108687112892846,0.000361570035016097,0.00014842412928849,-0.00505608092087314
FARM_N,-0.000155852862789627,4.75996322367581e-05,-0.000697066217179154,0.000449363772249954,0.000589358000101376,0.000581402290378214,0.000162789845960807,0.00902880658889559
rchdecay1,-0.000527695539078189,0.000485675270748147,-0.000108687112892847,0.000589358000101376,0.0116240331398539,0.000442619975067767,0.000155687216126745,0.0113008151287954
rchdecay2,0.00085095911346504,0.000790079612357341,0.000361570035016098,0.000581402290378213,0.000442619975067767,0.0111011266696717,0.000240476780828687,0.0205208753157038
rchdecay3,0.000221953072241989,0.000269398086039292,0.00014842412928849,0.000162789845960807,0.000155687216126745,0.000240476780828687,0.000414832020860552,-0.000322403152373274
iresload,0.0108905528181878,0.0197369507363726,-0.00505608092087312,0.00902880658889559,0.0113008151287954,0.0205208753157038,-0.00032240315237328,6.84179818885517
