, , , , , , , , 
EigenValues,3.16815603767974,0.996548133792017,0.925209655456441,0.826761040751478,0.720616299163434,0.592715539877254,0.480850710237706,0.289142583041926
point,-0.189066909588748,0.728249528207561,0.261596372452836,0.57901419734197,0.0630005126477154,-0.150818121590781,0.0449107696085716,0.0385237321542614
ndep,-0.407423528739324,0.154810260808861,-0.0425959853161357,-0.0805006093438657,0.0615311246952327,0.723140720857826,-0.515704600992319,-0.0952642029013001
MANC_N,-0.43341781028286,-0.137253355213473,0.127830479772086,-0.157389577161201,0.017854501745577,-0.525349923839145,-0.505940591039011,0.468946905612171
FARM_N,-0.480345955501816,-0.148828944681681,0.00855305222372505,-0.00199063202037207,-0.028950374934455,-0.315601890873597,0.0367980674583206,-0.803270698730696
rchdecay1,0.26002112937843,0.452235756696865,0.372644947275511,-0.687527837434272,0.232079562172649,-0.117291304945212,-0.0929331231169796,-0.200145721658725
rchdecay2,0.338328453116771,0.059269107813194,-0.531077313659929,0.207874166872837,0.542610507962965,-0.208533346397775,-0.433069834785987,-0.176930626574587
rchdecay3,0.378033104783101,0.0892252484622316,0.027561475030534,0.104712801010437,-0.745789247989024,-0.0989697180990813,-0.481525388070013,-0.198851990814703
iresload,0.233859741014233,-0.434403864833214,0.701193360616947,0.326520753339361,0.294277521588597,0.108101268077904,-0.215983937664667,-0.115675266218054
