"PARAMETER","PARM TYPE","ESTIMATE","SE","T","P-VALUE","VIF","DESCRIPTION","PARAMETER UNITS"
"urban","SOURCE",1725.14468197171,283.789033825868,6.078968798457,1.98347427371459e-09,1.81217183486901,"Urban lands","kg/km2/year"
"crops","SOURCE",1960.32666662525,101.314249115195,19.3489729603222,0,1.27065219805551,"Cropland","kg/km2/year"
"pasture","SOURCE",711.2640196107,141.177636234207,5.03807854121277,5.98498688830773e-07,1.49904511078714,"Pasture land","kg/km2/year"
"forest","SOURCE",164.292321379367,32.0180953490362,5.13123343498046,3.72819439986571e-07,1.80333192735493,"Forested land","kg/km2/year"
"barren","SOURCE",9186.30376822865,3099.13194548917,2.96415381139207,0.00313780777746864,1.30728979964425,"Barren land","kg/km2/year"
