"PARAMETER","PARM TYPE","ESTIMATE","SE","T","P-VALUE","VIF","DESCRIPTION","PARAMETER UNITS"
"point","SOURCE",0.813171136856245,0.146338386973946,5.55678625186037,3.90010028716858e-08,1.07963514636287,"Municipal/industrial point source","fraction, dimensionless"
"ndep","SOURCE",0.430155263044348,0.0291253784692846,14.7690874986564,0,1.36009525275809,"Atmospheric deposition N (wet only)","fraction, dimensionless"
"MANC_N","SOURCE",0.253303022118418,0.0625306500459329,4.05086180828681,5.67041072263574e-05,1.88253829171952,"Livestock manure N","fraction, dimensionless"
"FARM_N","SOURCE",0.191842874025819,0.0163745995555741,11.7158818678111,0,1.99585465368956,"Fertilizer N use","fraction, dimensionless"
