, , , , , , , , , , , , , 
EigenValues,4.42240249947265,2.16284335753666,1.35022920571518,0.942955909060077,0.860487651400305,0.836699279047204,0.679963697943598,0.570259858496668,0.414915604377493,0.323941818696922,0.255534451001517,0.123315889560089,0.0564507776916267
point,-0.140915066535765,-0.0282434162072191,0.376743108661156,-0.455871332020246,-0.270610953501725,0.731299419589105,-0.111906721868225,0.0480845036791278,-0.0705549670924778,0.0354726354164666,-0.00620692534165684,0.0204392727617359,0.00585217948359439
ndep,-0.278263340700299,-0.0952723043003426,0.541866467406546,0.231044123258506,0.0756227967595105,-0.19187140571815,-0.155725796711019,0.0770630905164112,0.195002999195081,0.558938722137186,-0.0836641659008923,-0.368591720235094,-0.0217058696963051
MANC_N,-0.369370946767718,-0.0397850021635016,0.023123471225564,0.11109895132073,-0.135539933245062,-0.153891708269066,-0.271631598427999,-0.235875628754437,-0.756392456934253,-0.102247637967305,0.287070546000741,-0.108034571312536,-0.031059960415459
FARM_N,-0.436776180441736,-0.151266780118522,-0.104124649245789,-0.00325496430938675,0.0221069739778753,-0.0403752700224729,-0.00711065739735907,0.00916534366136199,0.00795223962330727,-0.100634838465131,-0.460804205408612,0.157691335349604,0.72514913263594
Fixation,-0.440470468820687,-0.0206769464898407,-0.156796957785996,-0.0108866430517043,0.00138929128317002,-0.0157748294590493,-0.048359721846592,0.0449042590872553,0.0370083537972332,-0.111506027324685,-0.52885258668833,0.149347292645258,-0.678568868876959
ldrainden,0.369481214344178,-0.058180166846487,-0.0998280020826914,0.214900181347456,-0.0117328659530982,0.196846593791394,0.245379569975822,0.246592509723179,-0.558602003669013,0.380112583412079,-0.429511983479146,-0.0548899205138177,0.00552446813623341
PPT30MEAN,0.136448419499729,-0.540182930006973,0.342021175666218,0.10236980928116,0.0104903919557347,-0.155471948535626,-0.106489072744535,0.226663362790998,-0.0587793495023231,-0.0349556908428962,0.11877446057547,0.672031974834004,-0.0686813715913966
meanTemp,0.0908024512779284,-0.613723770237853,0.0535734681203594,-0.0279212491076055,0.0819417455251547,0.0276769385718681,0.118416307439371,0.140307243748084,0.00392661663326416,-0.480861784013251,-0.0641408269212553,-0.576587606359947,-0.0494827426076686
tiles_perc,-0.236243254672559,-0.180229919362406,-0.487025820350472,-0.222282213070181,-0.236229391897515,-0.0782727330787873,-0.043492067384053,0.596478207616845,0.0554612561086913,0.307192371439247,0.320474116674389,-0.0729113564827448,0.00558400070446615
soil_CLAYAVE,-0.107490637374186,-0.459718328604102,-0.262468085098697,-0.147589976130308,0.277544348463709,0.167556242393694,0.250210784909175,-0.573494276649495,0.0407546483715974,0.401874677563421,0.132700007217045,0.0703368980261881,-0.0640677261891107
rchdecay1,0.222493080756173,-0.0916206707115391,0.0879395352728658,-0.471629076877133,-0.571203493392282,-0.489436515489541,0.0799963225998718,-0.258346847507741,-0.0155595472087756,0.107927378840065,-0.241889457525242,-0.0500529100403892,-0.00805436597353946
rchdecay2,0.254119474475696,-0.00874253189118564,-0.110084978748272,-0.415526553024862,0.489890495549685,-0.0910456459618246,-0.671568231630101,0.0369290316722805,-0.0968493647652327,0.0843022056863556,-0.171798476299328,-0.0582767406055226,0.0227735664017145
iresload,0.191481801579652,-0.20273020421223,-0.269691485256485,0.450108990470371,-0.442860818928372,0.238955243464632,-0.528752906764209,-0.222153999056124,0.231447621814754,0.0418632354312441,-0.0865249632300484,-0.0402712854426064,0.0178145051785822
